ID,Name,Breakfast,Cooking time in minutes,Cooking time,Serving type,Servings,Calories,Protein,Fat,Carbs,Difficulty,Spicy,Ingredients,Types,Weights,URL,Picture URL
1,Соус ранч на кефире,0,15,15 минут,Порции,4,400.54,2.9,41.2,4.34,1,0,[137 221 458 425 421],"['г', 'г', 'г', 'г', 'г']","[150.0, 250.0, 15.0, 1.5, 2.0]",https://food.ru/recipes/190000,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS80R1pENm0uanBlZw.jpg
2,Домашние блинчики с начинкой из варенья,1,20,20 минут,Порция,1,190.98,5.4,2.7,36.8,1,0,[308 243 199 337 390  51],"['г', 'г', 'г', 'г', 'г', 'г']","[130.0, 200.0, 60.0, 20.0, 1.0, 100.0]",https://food.ru/recipes/190001,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zQVNKR3MuanBlZw.jpg
3,Слоеные булочки с корицей и маслом к чаю,1,60,1 час ,Порций,6,392.55,3.76,20.91,52.58,1,0,[376 372 165 337],"['г', 'г', 'г', 'г']","[250.0, 50.0, 50.0, 100.0]",https://food.ru/recipes/190002,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMC9RZ3ZaUUwuanBlZw.jpg
4,Банановый латте с сахаром,0,7,7 минут,Порции,2,45.89,1.35,1.09,7.81,1,0,[ 63 251 243  17 337],"['г', 'г', 'г', 'г', 'г']","[400.0, 20.0, 200.0, 150.0, 20.0]",https://food.ru/recipes/190003,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9QaGZFNWUuanBlZw.jpg
5,Воздушная сахарная пудра из тростникового сахара,0,5,5 минут,Порций,5,398.0,0.0,0.0,98.4,1,0,[453],['г'],[75.0],https://food.ru/recipes/190004,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9yV0QzenMuanBlZw.jpg
6,Яичный омлет с помидорами и столовым хреном,1,12,12 минут,Порция,1,160.11,8.72,12.74,2.2,1,1,[510 390 486 474 243 294 314],"['г', 'по вкусу', 'по вкусу', 'г', 'г', 'г', 'г']","[120.0, 0, 0, 12.0, 25.0, 20.0, 10.0]",https://food.ru/recipes/190005,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9qWkJuaFQuanBlZw.jpg
7,Яичница с грибами с кинзой,1,20,20 минут,Порция,1,109.55,9.23,7.06,2.0,2,0,[ 77 510 418 390],"['г', 'г', 'г', 'по вкусу']","[100.0, 180.0, 2.0, 0]",https://food.ru/recipes/190006,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zWGRYck0uanBlZw.jpg
8,Мини-пиццы на блинном тесте,0,25,25 минут,Порций,6,249.28,11.62,18.12,14.19,1,0,[ 45 427 510  62 308 291],"['г', 'г', 'г', 'г', 'г', 'г']","[50.0, 35.0, 60.0, 45.0, 45.0, 15.0]",https://food.ru/recipes/190007,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8za3htS1guanBlZw.jpg
9,Закусочные помидоры в масляном маринаде с аджикой,0,140,2 часа 20 минут,Порций,6,121.81,1.17,10.21,7.13,1,2,[294 315 488 314   4 337 390 486],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[320.0, 80.0, 10.0, 50.0, 25.0, 10.0, 8.0, 4.0]",https://food.ru/recipes/190008,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zMlRRbVguanBlZw.jpg
10,Нежнейший трайфл с творожным кремом,0,745,12 часов 25 минут,Порции,4,240.78,7.6,9.71,31.24,1,0,[372 510 243 311 308 337 379 434  73],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по желанию']","[40.0, 120.0, 120.0, 10.0, 200.0, 100.0, 100.0, 100.0, 0]",https://food.ru/recipes/190009,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zM2JZdmMuanBlZw.jpg
11,Жареная консервированная кукуруза в сливочном масле,0,10,10 минут,Порция,1,156.57,1.97,12.13,9.71,1,0,[154 372 390],"['г', 'г', 'по вкусу']","[150.0, 25.0, 0]",https://food.ru/recipes/190010,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9iNUY4WWkuanBlZw.jpg
12,Теплый салат «Осень»,0,25,25 минут,Порция,1,42.96,1.27,1.2,6.47,1,0,[126 252 121 186 268 390 271],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'г']","[350.0, 40.0, 20.0, 60.0, 100.0, 0, 5.0]",https://food.ru/recipes/190011,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9yaExwWkYuanBlZw.jpg
13,Банановые чипсы на десерт,0,735,12 часов 15 минут,Порции,3,96.0,1.5,0.5,21.0,1,0,[17],['г'],[1000.0],https://food.ru/recipes/190012,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zNzlFeEUuanBlZw.jpg
14,Томатный соус с маринованными помидорами,0,8,8 минут,Порции,4,90.5,3.27,4.72,9.78,1,1,[235 446 379 425 486],"['г', 'г', 'г', 'г', 'г']","[60.0, 40.0, 30.0, 3.0, 4.0]",https://food.ru/recipes/190013,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zYWVzdVcuanBlZw.jpg
15,Ролл с имбирем и помидором,0,15,15 минут,Порция,1,219.11,5.51,3.09,41.43,1,0,[322  11 438 294 236 458],"['г', 'г', 'г', 'г', 'г', 'г']","[100.0, 80.0, 30.0, 80.0, 10.0, 15.0]",https://food.ru/recipes/190014,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS84Y210QW8uanBlZw.jpg
16,"Боул с рисом, томатами, маринованными грибами и плавленым сыром",0,25,25 минут,Порция,1,24.84,1.42,0.84,3.8,1,0,[323  62 294 231 289 390],"['г', 'г', 'г', 'г', 'г', 'по вкусу']","[50.0, 450.0, 80.0, 55.0, 30.0, 0]",https://food.ru/recipes/190015,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS80VmVScXouanBlZw.jpg
17,Соус на кефире с чесноком и репчатым луком,0,10,10 минут,Порция,1,61.25,2.73,2.12,7.4,1,1,[137 315 488 458 390],"['г', 'г', 'г', 'г', 'по вкусу']","[50.0, 20.0, 5.0, 2.0, 0]",https://food.ru/recipes/190016,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMC80RXdFZksuanBlZw.jpg
18,Лимонные пирожные с творогом,0,45,45 минут,Порций,6,197.46,8.57,3.95,32.54,1,0,[434 311 212 190 337 510 308],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[180.0, 5.0, 120.0, 90.0, 100.0, 180.0, 100.0]",https://food.ru/recipes/190017,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zUlhzeW8uanBlZw.jpg
19,Томатный суп-пюре с колбасным сыром,0,50,50 минут,Порции,3,19.75,0.92,0.51,2.89,1,0,[294 252 132 315 151 390  62],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[240.0, 90.0, 240.0, 80.0, 50.0, 12.5, 1500.0]",https://food.ru/recipes/190018,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMi9aeUtOc2IuanBlZw.jpg
20,Шампиньоны с луком и специями на сковороде,0,20,20 минут,Порции,4,30.33,2.82,0.25,4.48,1,0,[494 315 390 399],"['г', 'г', 'по вкусу', 'по вкусу']","[400.0, 80.0, 0, 0]",https://food.ru/recipes/190019,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zUUFnV1kuanBlZw.jpg
21,Оладьи с капустой к завтраку,1,50,50 минут,Порции,3,185.3,4.28,11.02,17.07,1,0,[137 199 383 126 308 314],"['г', 'г', 'г', 'г', 'г', 'г']","[300.0, 60.0, 2.5, 300.0, 200.0, 85.0]",https://food.ru/recipes/190020,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zb0ZOTm4uanBlZw.jpg
22,Ароматные сырники с манкой к завтраку,1,40,40 минут,Порции,2,185.88,13.2,4.95,23.25,1,0,[434 228 308 199 337],"['г', 'г', 'г', 'г', 'г']","[200.0, 16.0, 25.0, 60.0, 50.0]",https://food.ru/recipes/190021,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMC80SmtzcUguanBlZw.jpg
23,Молочный суп с лапшой и сливочным маслом,1,25,25 минут,Порции,4,94.76,2.87,3.53,13.28,1,0,[243 207 372 337 390],"['г', 'г', 'г', 'г', 'по вкусу']","[1000.0, 200.0, 20.0, 75.0, 0]",https://food.ru/recipes/190022,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9lTHI2TGIuanBlZw.jpg
24,Томатные сухарики из белого хлеба со специями,1,30,30 минут,Порции,2,263.11,7.76,8.13,39.99,1,0,[314 446 399 390  31],"['г', 'г', 'г', 'г', 'г']","[17.0, 60.0, 2.5, 1.0, 300.0]",https://food.ru/recipes/190023,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS81ZVdqVW0uanBlZw.jpg
25,Гречневая манная каша,1,15,15 минут,Порция,1,130.74,5.5,3.36,20.61,1,0,[ 76 243 372],"['г', 'г', 'г']","[175.0, 450.0, 5.0]",https://food.ru/recipes/190025,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMi8zM0U1c2UuanBlZw.jpg
26,Пышная и ароматная шарлотка на кефире,0,50,50 минут,Порции,4,116.53,3.44,2.25,20.51,1,0,[137 308 502 510 337],"['г', 'г', 'г', 'г', 'г']","[206.0, 150.0, 750.0, 180.0, 100.0]",https://food.ru/recipes/190026,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zUW9SWWouanBlZw.jpg
27,Салат с маринованными грибами и сыром за 15 минут,0,25,25 минут,Порции,2,205.24,12.22,16.65,3.13,1,0,[231 510 433 221 340 315],"['г', 'г', 'г', 'г', 'г', 'г']","[80.0, 120.0, 80.0, 25.0, 4.0, 15.0]",https://food.ru/recipes/190027,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyMS9LVFVTeDguanBlZw.jpg
28,Шоколадный торт на кефире,0,90,1 час 30 минут,Порций,8,259.64,5.0,11.07,37.14,2,0,[137 308 383 337 199 123 379 338 212 379 123 372 337 480],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по желанию']","[206.0, 130.0, 5.0, 180.0, 60.0, 50.0, 210.0, 70.0, 30.0, 25.0, 25.0, 50.0, 12.5, 0]",https://food.ru/recipes/190029,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zVFA2QXIuanBlZw.jpg
29,Сливочная паста с грибами на ужин,0,25,25 минут,Порции,4,197.91,6.02,4.2,33.46,1,0,[398 494 315 372 390 399],"['г', 'г', 'г', 'г', 'по вкусу', 'по вкусу']","[400.0, 400.0, 80.0, 40.0, 0, 0]",https://food.ru/recipes/190030,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zdXBrR3IuanBlZw.jpg
30,Макароны в томатно-сырном соусе на обед,0,30,30 минут,Порции,3,48.0,1.89,0.83,8.75,1,0,[294 427 223 390  62],"['г', 'г', 'г', 'г', 'г']","[160.0, 50.0, 300.0, 10.0, 2000.0]",https://food.ru/recipes/190031,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zQ01CZ2MuanBlZw.jpg
31,Жареная форель в сливочно-чесночном соусе на ужин,0,15,15 минут,Порции,2,191.26,6.8,16.58,3.74,1,1,[469 314 294 315 488 368 390 486 373 340],"['г', 'г', 'г', 'г', 'г', 'г', 'по вкусу', 'по вкусу', 'г', 'по вкусу']","[200.0, 51.0, 240.0, 80.0, 20.0, 100.0, 0, 0, 30.0, 0]",https://food.ru/recipes/190032,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMTAxMC80V21xWlIuanBlZw.jpg
32,Маффины на сметане,1,40,40 минут,Штук,8,311.26,5.9,15.59,38.45,2,0,[308 337 311 383 247 199 379 372 243  75 483],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[130.0, 90.0, 5.0, 2.5, 1.0, 60.0, 105.0, 40.0, 40.0, 35.0, 37.5]",https://food.ru/recipes/190033,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zTmZ4N0QuanBlZw.jpg
33,Рулет с повидлом,0,25,25 минут,Штука,1,327.0,8.87,15.1,41.67,3,0,[416 308 314 199 383 337 504 338],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'по желанию']","[80.0, 100.0, 51.0, 180.0, 5.0, 100.0, 100.0, 0]",https://food.ru/recipes/190035,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS92WVRpUlAuanBlZw.jpg
34,Домашний плов из свинины с чесноком и морковью,0,70,1 час 10 минут,Порций,6,209.57,7.63,6.9,29.32,1,0,[326 315 252 400 488 390 347],"['г', 'г', 'г', 'г', 'г', 'по вкусу', 'г']","[400.0, 160.0, 300.0, 10.0, 20.0, 0, 400.0]",https://food.ru/recipes/190036,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9tTHljZnQuanBlZw.jpg
35,Блюдо «Яркие ракушки»,0,35,35 минут,Порции,2,91.45,3.88,1.77,14.93,1,0,[ 62 223 314 198 178 296   5],"['г', 'г', 'г', 'г', 'г', 'г', 'г']","[350.0, 150.0, 10.0, 50.0, 150.0, 60.0, 1.0]",https://food.ru/recipes/190037,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyNi9oSGV1MmYuanBlZw.jpg
36,Салат из киноа,0,30,30 минут,Порции,3,110.13,7.53,3.59,11.0,2,1,[141 294  34 180 183 314 390 260 212],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[100.0, 80.0, 150.0, 75.0, 200.0, 17.0, 37.5, 10.0, 60.0]",https://food.ru/recipes/190038,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9rUm51c1ouanBlZw.jpg
37,Бефстроганов из индейки,0,35,35 минут,Порции,2,126.96,5.78,7.22,9.45,1,0,[132 243 372 462 379 315 308 446 285 164 257],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г']","[500.0, 100.0, 40.0, 300.0, 100.0, 80.0, 10.0, 30.0, 20.0, 1.0, 1.0]",https://food.ru/recipes/190039,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zQk1XYUYuanBlZw.jpg
38,Салат из свежей капусты и моркови,0,45,45 минут,Порции,3,74.1,1.32,4.36,6.53,2,1,[ 25 252  34 268 294 315 340 337 486 250 314 508 390  27],"['г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'г', 'по желанию']","[300.0, 90.0, 75.0, 100.0, 80.0, 80.0, 20.0, 10.0, 2.5, 1.0, 34.0, 7.5, 5.0, 0]",https://food.ru/recipes/190040,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8za3pZODcuanBlZw.jpg
39,Сливочно-шпинатный соус к мясу,0,10,10 минут,Порций,5,149.75,3.37,11.25,8.02,1,0,[499 365 373 308 390],"['г', 'г', 'г', 'г', 'по вкусу']","[100.0, 150.0, 25.0, 25.0, 0]",https://food.ru/recipes/190041,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS9pdTh3clkuanBlZw.jpg
40,Молочная рисовая каша со сливочным маслом и сахаром,1,30,30 минут,Порции,4,189.08,4.24,4.67,31.41,1,0,[322 245 372 337 390],"['г', 'г', 'г', 'по вкусу', 'по вкусу']","[300.0, 500.0, 30.0, 0, 0]",https://food.ru/recipes/190042,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkyOS8zN1dYWUUuanBlZw.jpg
41,Макароны с сыром,0,15,15 минут,Порции,2,51.37,1.79,2.14,6.11,2,1,[ 62 433 372 390 119 223],"['г', 'г', 'г', 'г', 'по желанию', 'г']","[2500.0, 100.0, 40.0, 25.0, 0, 250.0]",https://food.ru/recipes/190043,https://cdn.food.ru/unsigned/fit/2544/1908/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDIwMi80M0pabk0uanBlZw.jpg
